,Адрес объекта,Тип Объекта,Этажность объекта,Дата постройки,Общая площадь объекта
5254,"ул. Уфимское шоссе, д.27 корп.3",Многоквартирный дом,9,1986-01-01 00:00:00,7525.9
5255,"ул. Уфимское шоссе, д.27 корп.а",Другое строение,1,,0.01
5257,"ул. Уфимское шоссе, д.29",Многоквартирный дом,9,1986-01-01 00:00:00,5669.9
5258,"ул. Уфимское шоссе, д.29 корп.1",Многоквартирный дом,9,1986-01-01 00:00:00,2837.9
5259,"ул. Уфимское шоссе, д.3",Другое строение,4,,0.04
5260,"ул. Уфимское шоссе, д.3 корп.1",Другое строение,3,,0.01
5261,"ул. Уфимское шоссе, д.31",Многоквартирный дом,12,1992-01-01 00:00:00,2755.2
5262,"ул. Уфимское шоссе, д.33",Многоквартирный дом,12,1992-01-01 00:00:00,2751.8
5263,"ул. Уфимское шоссе, д.34",Другое строение,2,,0.08
5264,"ул. Уфимское шоссе, д.35",Многоквартирный дом,12,1992-01-01 00:00:00,2711.6
5265,"ул. Уфимское шоссе, д.36",Другое строение,4,,0.02
5266,"ул. Уфимское шоссе, д.36 корп.1",Другое строение,3,,0.01
5267,"ул. Уфимское шоссе, д.36 корп.2",Другое строение,2,,0.01
5268,"ул. Уфимское шоссе, д.37",Многоквартирный дом,12,1993-01-01 00:00:00,2743.5
5269,"ул. Уфимское шоссе, д.37 корп.1",Многоквартирный дом,10,1992-01-01 00:00:00,4200.3
5270,"ул. Уфимское шоссе, д.37 корп.2",Другое строение,12,,0.01
5271,"ул. Уфимское шоссе, д.38",Другое строение,4,,0.01
5273,"ул. Уфимское шоссе, д.38 корп.1",Другое строение,6,,0.04
5274,"ул. Уфимское шоссе, д.39",Другое строение,2,,0.07
5275,"ул. Уфимское шоссе, д.4 корп.1",Многоквартирный дом,9,1976-01-01 00:00:00,3821.3
5276,"ул. Уфимское шоссе, д.48",Другое строение,2,,0.01
5277,"ул. Уфимское шоссе, д.49","Административные здания, конторы",2,,0.1
5278,"ул. Уфимское шоссе, д.6",Многоквартирный дом,9,1975-01-01 00:00:00,7565.5
5279,"ул. Уфимское шоссе, д.6 корп.1",Многоквартирный дом,10,1976-01-01 00:00:00,4086.3
5280,"ул. Уфимское шоссе, д.75",Автомойка,1,2017-10-01 00:00:00,0.01
5281,"ул. Уфимское шоссе, д.75*потери",Другое строение,0,,
5282,"ул. Уфимское шоссе, д.8",Многоквартирный дом,9,1977-01-01 00:00:00,7563.1
5283,"ул. Уфимское шоссе, д.8 корп.1",Многоквартирный дом,9,1977-01-01 00:00:00,3855.7
5284,"ул. Фабричная, д.27",Частный дом,1,1960-01-01 00:00:00,53.7
5285,"ул. Фадеева, д.7",Частный дом,1,1950-01-01 00:00:00,144.0
5286,"ул. Ферина, д.1",Многоквартирный дом,4,1946-01-01 00:00:00,3372.5
5288,"ул. Ферина, д.1 корп.1",Многоквартирный дом,9,1975-01-01 00:00:00,7700.3
5289,"ул. Ферина, д.1 корп.2",Многоквартирный дом,9,1976-01-01 00:00:00,7587.4
5290,"ул. Ферина, д.1 корп.3",Многоквартирный дом,9,1976-01-01 00:00:00,7626.6
5291,"ул. Ферина, д.1 корп.А",Многоквартирный дом,4,1946-01-01 00:00:00,3486.36
5292,"ул. Ферина, д.10",Многоквартирный дом,9,1973-01-01 00:00:00,7593.3
5293,"ул. Ферина, д.10 корп.1",Многоквартирный дом,9,1972-01-01 00:00:00,10983.2
5294,"ул. Ферина, д.10 корп.2",Другое строение,2,1975-01-01 00:00:00,0.0
5295,"ул. Ферина, д.12",Многоквартирный дом,12,1977-01-01 00:00:00,5666.1
5296,"ул. Ферина, д.13",Другое строение,2,1932-01-01 00:00:00,0.01
5297,"ул. Ферина, д.14",Многоквартирный дом,9,1977-01-01 00:00:00,12694.7
5298,"ул. Ферина, д.15",Другое строение,2,,0.01
5299,"ул. Ферина, д.15 корп.1",Многоквартирный дом,17,2021-01-01 00:00:00,6583.31
5300,"ул. Ферина, д.16",Многоквартирный дом,12,1978-01-01 00:00:00,5508.4
5301,"ул. Ферина, д.16 корп.1",Другое строение,1,1946-01-01 00:00:00,0.01
5302,"ул. Ферина, д.17",Многоквартирный дом,9,1977-01-01 00:00:00,7570.1
5303,"ул. Ферина, д.17 корп.1",Многоквартирный дом,12,1980-01-01 00:00:00,4840.1
5304,"ул. Ферина, д.17 корп.2",Многоквартирный дом,16,2011-01-01 00:00:00,8233.0
5305,"ул. Ферина, д.18",Многоквартирный дом,9,1974-01-01 00:00:00,11195.88
5306,"ул. Ферина, д.19",Другое строение,2,,0.01
5307,"ул. Ферина, д.19 корп.1",Многоквартирный дом,9,1981-01-01 00:00:00,9770.7
5308,"ул. Ферина, д.19 корп.3",Многоквартирный дом,14,1997-01-01 00:00:00,9809.0
5309,"ул. Ферина, д.2",Другое строение,1,,0.01
5310,"ул. Ферина, д.20",Многоквартирный дом,12,1982-01-01 00:00:00,5678.1
5311,"ул. Ферина, д.20 корп.1",Многоквартирный дом,9,1983-01-01 00:00:00,8827.9
5312,"ул. Ферина, д.20 корп.2",Многоквартирный дом,9,1984-01-01 00:00:00,2269.4
5313,"ул. Ферина, д.21",Многоквартирный дом,12,1984-01-01 00:00:00,4680.2
5314,"ул. Ферина, д.22",Многоквартирный дом,9,1980-01-01 00:00:00,7548.5
5315,"ул. Ферина, д.22 корп.1",Другое строение,2,,0.01
5316,"ул. Ферина, д.22 корп.2",Другое строение,2,1979-01-01 00:00:00,0.01
5317,"ул. Ферина, д.22 корп.а",Медицинское учреждение,2,,0.02
5318,"ул. Ферина, д.24",Многоквартирный дом,9,1980-01-01 00:00:00,11213.5
5319,"ул. Ферина, д.24 корп.1",Многоквартирный дом,9,1979-01-01 00:00:00,3855.3
5320,"ул. Ферина, д.24 корп.2",Многоквартирный дом,9,1979-01-01 00:00:00,3827.1
5321,"ул. Ферина, д.24 корп.3",Многоквартирный дом,9,1979-01-01 00:00:00,7582.6
5322,"ул. Ферина, д.26",Многоквартирный дом,9,1982-01-01 00:00:00,8788.4
5323,"ул. Ферина, д.28",Многоквартирный дом,9,1981-01-01 00:00:00,11242.0
5324,"ул. Ферина, д.29",Другое строение,4,,0.02
5325,"ул. Ферина, д.3",Многоквартирный дом,5,1939-01-01 00:00:00,3726.0
5326,"ул. Ферина, д.3 корп.1",Другое строение,2,,0.01
5327,"ул. Ферина, д.3 корп.3",Многоквартирный дом,9,1976-01-01 00:00:00,7578.9
5328,"ул. Ферина, д.3 корп.4",Многоквартирный дом,12,1980-01-01 00:00:00,4713.3
5329,"ул. Ферина, д.31",Многоквартирный дом,25,2017-11-01 00:00:00,25290.8
5330,"ул. Ферина, д.31* потери",Другое строение,0,,
5331,"ул. Ферина, д.33",Многоквартирный дом,19,2017-01-01 00:00:00,14653.5
5332,"ул. Ферина, д.39",Многоквартирный дом,18,2020-10-01 00:00:00,36340.11
5333,"ул. Ферина, д.4",Многоквартирный дом,12,1995-01-01 00:00:00,7373.1
5334,"ул. Ферина, д.5",Многоквартирный дом,9,1977-01-01 00:00:00,7567.6
5335,"ул. Ферина, д.5 корп.1",Многоквартирный дом,9,1977-01-01 00:00:00,7613.3
5336,"ул. Ферина, д.6",Многоквартирный дом,4,1937-01-01 00:00:00,3973.4
5337,"ул. Ферина, д.6 корп.1",Многоквартирный дом,9,1974-01-01 00:00:00,3855.5
5338,"ул. Ферина, д.7",Многоквартирный дом,1,,61.32
5339,"ул. Ферина, д.8",Многоквартирный дом,9,1976-01-01 00:00:00,11195.8
5340,"ул. Ферина, д.8 корп.1",Многоквартирный дом,9,1972-01-01 00:00:00,3793.1
5341,"ул. Ферина, д.9",Многоквартирный дом,12,1980-01-01 00:00:00,4644.8
5342,"ул. Ферина, д.9 корп.1",Многоквартирный дом,12,1981-01-01 00:00:00,4794.1
5343,"ул. Фурманова, д.10",Многоквартирный дом,2,1954-01-01 00:00:00,835.8
5344,"ул. Фурманова, д.11",Многоквартирный дом,2,1935-01-01 00:00:00,769.67
5345,"ул. Фурманова, д.12",Многоквартирный дом,2,1938-01-01 00:00:00,749.3
5346,"ул. Фурманова, д.15",Многоквартирный дом,2,1935-01-01 00:00:00,803.23
5347,"ул. Фурманова, д.16",Многоквартирный дом,2,1935-01-01 00:00:00,798.3
5348,"ул. Фурманова, д.17",Многоквартирный дом,2,1935-01-01 00:00:00,768.0
5349,"ул. Фурманова, д.18 корп.А",Частный дом,1,1949-01-01 00:00:00,117.5
5350,"ул. Фурманова, д.19",Нежилой дом,3,1950-01-01 00:00:00,612.1
5351,"ул. Фурманова, д.2 корп.Б",Другое строение,1,,0.01
5352,"ул. Фурманова, д.22",Частный дом,1,1989-01-01 00:00:00,104.4
5353,"ул. Фурманова, д.23",Частный дом,1,1951-01-01 00:00:00,1.0
5354,"ул. Фурманова, д.24",Частный дом,1,1941-01-01 00:00:00,0.0
5355,"ул. Фурманова, д.25",Частный дом,1,1940-01-01 00:00:00,0.0
5356,"ул. Фурманова, д.26",Частный дом,1,1940-01-01 00:00:00,86.5
5357,"ул. Фурманова, д.39",Другое строение,2,,0.01
5358,"ул. Фурманова, д.40",Частный дом,1,1989-01-01 00:00:00,53.5
5359,"ул. Фурманова, д.5",Другое строение,1,,0.01
5360,"ул. Фурманова, д.63",Другое строение,1,,0.01
5361,"ул. Фурманова, д.9",Другое строение,1,,0.01
5362,"ул. Харьковская, д.101",Многоквартирный дом,3,1960-01-01 00:00:00,2160.01
5363,"ул. Харьковская, д.103",Многоквартирный дом,3,1960-01-01 00:00:00,2040.7
5364,"ул. Харьковская, д.114",Многоквартирный дом,4,1959-01-01 00:00:00,1070.4
5365,"ул. Харьковская, д.116",Многоквартирный дом,4,1961-01-01 00:00:00,1284.5
5366,"ул. Харьковская, д.118",Многоквартирный дом,4,1961-01-01 00:00:00,1262.1
5367,"ул. Харьковская, д.120",Многоквартирный дом,4,1961-01-01 00:00:00,1262.3
5368,"ул. Харьковская, д.120 корп.1",Другое строение,1,1995-01-01 00:00:00,0.01
5369,"ул. Харьковская, д.121",Другое строение,3,1962-01-01 00:00:00,0.01
5370,"ул. Харьковская, д.129",Многоквартирный дом,5,1990-01-01 00:00:00,3013.3
5371,"ул. Худайбердина, д.102",Многоквартирный дом,2,1942-01-01 00:00:00,204.3
5372,"ул. Худайбердина, д.11",Многоквартирный дом,10,2016-01-01 00:00:00,5360.0
5373,"ул. Худайбердина, д.5",Другое строение,3,1990-01-01 00:00:00,0.01
5374,"ул. Хусаина Ямашева, д.1",Другое строение,4,,0.07
5375,"ул. Цветочная, д.0",Другое строение,1,,0.01
5376,"ул. Цветочная, д.1",Другое строение,3,,0.01
5377,"ул. Цветочная, д.1 корп.1",Другое строение,1,,0.01
5378,"ул. Цветочная, д.1 корп.2",Другое строение,1,,0.01
5379,"ул. Цветочная, д.1 корп.3",Магазины,1,,0.0
5380,"ул. Цветочная, д.1 корп.г",Другое строение,2,,0.01
5381,"ул. Цветочная, д.1* корп.потери",Другое строение,0,,0.0
5382,"ул. Цветочная, д.11 корп.1",Другое строение,1,1946-01-01 00:00:00,0.01
5383,"ул. Цветочная, д.15","Административные здания, конторы",1,,0.01
5384,"ул. Цветочная, д.2",Другое строение,3,,0.01
5385,"ул. Цветочная, д.2 корп.1",Другое строение,2,,0.07
5386,"ул. Цветочная, д.2 корп.2",Другое строение,2,,0.01
5387,"ул. Цветочная, д.2 корп.3",Другое строение,2,,0.01
5388,"ул. Цветочная, д.3",Другое строение,1,,0.09
5389,"ул. Цветочная, д.3 корп.2",Другое строение,3,,0.01
5390,"ул. Цветочная, д.38",Другое строение,2,,0.01
5391,"ул. Цветочная, д.38* корп.потери",Другое строение,0,,
5392,"ул. Цветочная, д.42",Другое строение,2,,0.01
5393,"ул. Цветочная, д.5",Другое строение,2,,0.01
5394,"ул. Цветочная, д.5 корп.1",Другое строение,2,,0.01
5395,"ул. Цветочная, д.7 корп.2",Другое строение,1,,0.01
5396,"ул. Цветочная, д.7 корп.3",Другое строение,1,,0.01
5397,"ул. Цюрупы, д.100",Многоквартирный дом,5,1966-01-01 00:00:00,3215.3
5398,"ул. Цюрупы, д.100 корп.1",Другое строение,2,,0.01
5399,"ул. Цюрупы, д.100 корп.102",Другое строение,6,,0.01
5400,"ул. Цюрупы, д.102",Многоквартирный дом,5,1966-01-01 00:00:00,3200.7
5401,"ул. Цюрупы, д.104",Многоквартирный дом,5,1965-01-01 00:00:00,3159.6
5402,"ул. Цюрупы, д.106",Многоквартирный дом,5,1964-01-01 00:00:00,3301.8
5403,"ул. Цюрупы, д.108 корп.1",Многоквартирный дом,5,1964-01-01 00:00:00,3157.5
5404,"ул. Цюрупы, д.110",Многоквартирный дом,5,1965-01-01 00:00:00,4633.0
5405,"ул. Цюрупы, д.110 корп.1",Многоквартирный дом,5,1964-01-01 00:00:00,2504.0
5406,"ул. Цюрупы, д.120",Многоквартирный дом,3,1959-01-01 00:00:00,1561.1
5407,"ул. Цюрупы, д.124",Многоквартирный дом,3,1964-01-01 00:00:00,1963.5
5409,"ул. Цюрупы, д.126",Другое строение,4,1959-01-01 00:00:00,0.01
5410,"ул. Цюрупы, д.128",Многоквартирный дом,3,1954-01-01 00:00:00,852.5
5411,"ул. Цюрупы, д.130",Многоквартирный дом,14,1998-01-01 00:00:00,14048.7
5412,"ул. Цюрупы, д.134",Многоквартирный дом,12,1989-01-01 00:00:00,4007.7
5413,"ул. Цюрупы, д.145",Многоквартирный дом,10,2005-01-01 00:00:00,6290.0
5414,"ул. Цюрупы, д.145 корп.1",Многоквартирный дом,9,2006-01-01 00:00:00,10021.8
5415,"ул. Цюрупы, д.149",Многоквартирный дом,5,1970-01-01 00:00:00,3853.4
5416,"ул. Цюрупы, д.149 корп.1",Многоквартирный дом,9,1989-01-01 00:00:00,4372.2
5417,"ул. Цюрупы, д.151",Многоквартирный дом,9,1993-01-01 00:00:00,8508.9
5418,"ул. Цюрупы, д.153",Многоквартирный дом,9,1999-01-01 00:00:00,7526.6
5419,"ул. Цюрупы, д.156 корп.1",Многоквартирный дом,14,1990-01-01 00:00:00,4958.1
5420,"ул. Цюрупы, д.156 корп.2",Многоквартирный дом,10,1992-01-01 00:00:00,9887.55
5421,"ул. Цюрупы, д.156 корп.3",Многоквартирный дом,12,2004-01-01 00:00:00,5043.9
5422,"ул. Цюрупы, д.82",Многоквартирный дом,9,1970-01-01 00:00:00,5213.9
5423,"ул. Цюрупы, д.83",Многоквартирный дом,9,1971-01-01 00:00:00,8066.54
5424,"ул. Цюрупы, д.83 корп.1",Другое строение,2,1972-01-01 00:00:00,0.01
5425,"ул. Цюрупы, д.83 корп.2",Другое строение,2,1971-01-01 00:00:00,0.01
5426,"ул. Цюрупы, д.84",Многоквартирный дом,9,1969-01-01 00:00:00,15081.6
5427,"ул. Цюрупы, д.85",Многоквартирный дом,9,1970-01-01 00:00:00,8146.0
5428,"ул. Цюрупы, д.86",Другое строение,2,,0.01
5429,"ул. Цюрупы, д.91",Многоквартирный дом,5,1965-01-01 00:00:00,3243.26
5430,"ул. Цюрупы, д.91 корп.93",Другое строение,9,,0.01
5431,"ул. Цюрупы, д.93",Многоквартирный дом,5,1965-01-01 00:00:00,3161.8
5432,"ул. Цюрупы, д.97",Другое строение,3,,0.01
5433,"ул. Цюрупы, д.97*",Другое строение,0,,
5434,"ул. Цюрупы, д.98",Многоквартирный дом,11,1995-01-01 00:00:00,3268.1
5435,"ул. Цюрупы, д.ряд с 145",Другое строение,1,2004-01-01 00:00:00,0.02
5436,"ул. Чайковского, д.9",Другое строение,2,,0.01
5437,"ул. Черниковская, д.1",Многоквартирный дом,2,1942-01-01 00:00:00,947.6
5438,"ул. Черниковская, д.10",Многоквартирный дом,2,1943-01-01 00:00:00,928.5
5439,"ул. Черниковская, д.12",Многоквартирный дом,5,1960-01-01 00:00:00,3363.5
5440,"ул. Черниковская, д.13",Многоквартирный дом,2,1940-01-01 00:00:00,387.0
5441,"ул. Черниковская, д.14",Многоквартирный дом,5,1961-01-01 00:00:00,3467.4
5442,"ул. Черниковская, д.15",Многоквартирный дом,2,1940-01-01 00:00:00,878.4
5443,"ул. Черниковская, д.17",Многоквартирный дом,2,1944-01-01 00:00:00,934.3
5444,"ул. Черниковская, д.19 корп.1",Многоквартирный дом,5,1969-01-01 00:00:00,3527.2
5445,"ул. Черниковская, д.19 корп.2",Многоквартирный дом,5,1989-01-01 00:00:00,2756.3
5446,"ул. Черниковская, д.2",Многоквартирный дом,2,1942-01-01 00:00:00,934.1
5447,"ул. Черниковская, д.21",Многоквартирный дом,2,1944-01-01 00:00:00,504.6
5448,"ул. Черниковская, д.22",Многоквартирный дом,2,1944-01-01 00:00:00,515.57
5449,"ул. Черниковская, д.25",Многоквартирный дом,2,1944-01-01 00:00:00,511.9
5450,"ул. Черниковская, д.25 корп.1",Многоквартирный дом,5,1969-01-01 00:00:00,3575.6
5451,"ул. Черниковская, д.27",Многоквартирный дом,2,1944-01-01 00:00:00,956.92
5452,"ул. Черниковская, д.29",Многоквартирный дом,2,1958-01-01 00:00:00,569.9
5453,"ул. Черниковская, д.3",Многоквартирный дом,2,1940-01-01 00:00:00,729.7
5454,"ул. Черниковская, д.3 корп.1",Многоквартирный дом,5,1967-01-01 00:00:00,3422.2
5455,"ул. Черниковская, д.31",Многоквартирный дом,2,1958-01-01 00:00:00,308.9
5456,"ул. Черниковская, д.31 корп.А",Многоквартирный дом,2,1958-01-01 00:00:00,651.2
5457,"ул. Черниковская, д.32",Другое строение,2,2012-01-01 00:00:00,0.01
5458,"ул. Черниковская, д.33",Многоквартирный дом,2,1959-01-01 00:00:00,653.4
5459,"ул. Черниковская, д.35",Многоквартирный дом,2,1958-01-01 00:00:00,566.3
5460,"ул. Черниковская, д.35 корп.А",Многоквартирный дом,2,1958-01-01 00:00:00,317.5
5461,"ул. Черниковская, д.35 корп.Б",Многоквартирный дом,2,1958-01-01 00:00:00,656.8
5462,"ул. Черниковская, д.37",Многоквартирный дом,2,1959-01-01 00:00:00,646.7
5463,"ул. Черниковская, д.37 корп.А",Многоквартирный дом,2,1959-01-01 00:00:00,645.3
5464,"ул. Черниковская, д.37 корп.Б",Многоквартирный дом,2,1958-01-01 00:00:00,304.1
5465,"ул. Черниковская, д.4",Многоквартирный дом,2,1941-01-01 00:00:00,520.4
5466,"ул. Черниковская, д.40",Другое строение,2,,0.01
5467,"ул. Черниковская, д.41",Многоквартирный дом,2,1958-01-01 00:00:00,570.7
5468,"ул. Черниковская, д.42",Многоквартирный дом,5,1969-01-01 00:00:00,6515.5
5469,"ул. Черниковская, д.43",Многоквартирный дом,5,1975-01-01 00:00:00,1222.5
5470,"ул. Черниковская, д.44",Многоквартирный дом,5,1968-01-01 00:00:00,2586.7
5471,"ул. Черниковская, д.45",Многоквартирный дом,2,1959-01-01 00:00:00,565.9
5472,"ул. Черниковская, д.45 корп.А",Многоквартирный дом,2,1960-01-01 00:00:00,565.3
5473,"ул. Черниковская, д.46",Многоквартирный дом,5,1968-01-01 00:00:00,3576.2
5474,"ул. Черниковская, д.46 корп.А",Другое строение,2,1972-01-01 00:00:00,0.01
5475,"ул. Черниковская, д.47",Многоквартирный дом,2,1959-01-01 00:00:00,567.5
5476,"ул. Черниковская, д.47 корп.А",Многоквартирный дом,2,1960-01-01 00:00:00,569.9
5477,"ул. Черниковская, д.48",Многоквартирный дом,5,1968-01-01 00:00:00,2623.0
5478,"ул. Черниковская, д.49",Многоквартирный дом,2,1961-01-01 00:00:00,580.3
5479,"ул. Черниковская, д.5",Многоквартирный дом,2,1940-01-01 00:00:00,753.8
5480,"ул. Черниковская, д.5 корп.1",Многоквартирный дом,5,1967-01-01 00:00:00,3415.2
5481,"ул. Черниковская, д.50",Многоквартирный дом,5,1968-01-01 00:00:00,2608.7
5482,"ул. Черниковская, д.50 корп.1",Многоквартирный дом,5,1983-01-01 00:00:00,4525.1
5483,"ул. Черниковская, д.51",Многоквартирный дом,17,2006-01-01 00:00:00,31549.9
5484,"ул. Черниковская, д.51* потери",Другое строение,0,,
5485,"ул. Черниковская, д.52",Многоквартирный дом,9,1988-01-01 00:00:00,5628.5
5486,"ул. Черниковская, д.54",Многоквартирный дом,9,1985-01-01 00:00:00,5707.0
5487,"ул. Черниковская, д.55",Многоквартирный дом,5,1966-01-01 00:00:00,3563.9
5488,"ул. Черниковская, д.56",Многоквартирный дом,9,1978-01-01 00:00:00,4787.5
5489,"ул. Черниковская, д.57",Многоквартирный дом,5,1966-01-01 00:00:00,3554.3
5490,"ул. Черниковская, д.59",Многоквартирный дом,5,1966-01-01 00:00:00,3562.2
5491,"ул. Черниковская, д.59 корп.1",Другое строение,3,,0.01
5492,"ул. Черниковская, д.59 корп.А",Другое строение,1,,0.01
5493,"ул. Черниковская, д.6",Многоквартирный дом,2,1941-01-01 00:00:00,514.1
5494,"ул. Черниковская, д.61",Многоквартирный дом,5,1966-01-01 00:00:00,3543.7
5495,"ул. Черниковская, д.63",Многоквартирный дом,5,1966-01-01 00:00:00,2591.0
5496,"ул. Черниковская, д.65",Многоквартирный дом,5,1966-01-01 00:00:00,3547.7
5497,"ул. Черниковская, д.65 корп.1",Другое строение,2,,0.01
5498,"ул. Черниковская, д.67",Многоквартирный дом,9,1969-01-01 00:00:00,2292.3
5499,"ул. Черниковская, д.69",Многоквартирный дом,9,1969-01-01 00:00:00,2229.0
5500,"ул. Черниковская, д.7",Многоквартирный дом,2,1940-01-01 00:00:00,769.0
5501,"ул. Черниковская, д.7 корп.1",Многоквартирный дом,5,1970-01-01 00:00:00,892.8
5502,"ул. Черниковская, д.71",Многоквартирный дом,9,1969-01-01 00:00:00,2253.6
5503,"ул. Черниковская, д.71 корп.1",Многоквартирный дом,5,1966-01-01 00:00:00,3575.7
5504,"ул. Черниковская, д.73",Многоквартирный дом,9,1969-01-01 00:00:00,2250.9
5505,"ул. Черниковская, д.73 корп.1",Многоквартирный дом,5,1967-01-01 00:00:00,3561.6
5506,"ул. Черниковская, д.75",Многоквартирный дом,5,1968-01-01 00:00:00,3188.6
5507,"ул. Черниковская, д.75 корп.1",Многоквартирный дом,5,1969-01-01 00:00:00,3584.4
5508,"ул. Черниковская, д.75 корп.2",Многоквартирный дом,9,1992-01-01 00:00:00,7610.2
5509,"ул. Черниковская, д.75 корп.3",Многоквартирный дом,9,1992-01-01 00:00:00,4147.5
5510,"ул. Черниковская, д.77",Многоквартирный дом,5,1968-01-01 00:00:00,4500.1
5511,"ул. Черниковская, д.79",Многоквартирный дом,5,1970-01-01 00:00:00,4162.6
5512,"ул. Черниковская, д.79 корп.1",Многоквартирный дом,5,1969-01-01 00:00:00,2613.5
5513,"ул. Черниковская, д.79 корп.2",Многоквартирный дом,9,1972-01-01 00:00:00,7541.9
5514,"ул. Черниковская, д.79 корп.3",Другое строение,1,,0.01
5515,"ул. Черниковская, д.8",Многоквартирный дом,2,1941-01-01 00:00:00,519.1
5516,"ул. Черниковская, д.81",Многоквартирный дом,5,1969-01-01 00:00:00,5210.3
5517,"ул. Черниковская, д.83",Многоквартирный дом,5,1968-01-01 00:00:00,5238.7
5518,"ул. Черниковская, д.83 корп.1",Многоквартирный дом,10,1990-01-01 00:00:00,4233.0
5519,"ул. Черниковская, д.83 корп.2",Многоквартирный дом,9,1992-01-01 00:00:00,2825.8
5520,"ул. Черниковская, д.85",Многоквартирный дом,5,1969-01-01 00:00:00,2612.2
5521,"ул. Черниковская, д.85 корп.1",Многоквартирный дом,9,1974-01-01 00:00:00,2279.8
5522,"ул. Черниковская, д.87",Многоквартирный дом,9,1972-01-01 00:00:00,7564.2
5523,"ул. Черниковская, д.89",Другое строение,1,,0.01
5524,"ул. Черниковская, д.89 корп.1",Многоквартирный дом,5,1967-01-01 00:00:00,3547.6
5525,"ул. Черниковская, д.89 корп.2",Многоквартирный дом,5,1967-01-01 00:00:00,3550.8
5526,"ул. Черниковская, д.9",Многоквартирный дом,5,1969-01-01 00:00:00,3384.5
5527,"ул. Черниковская, д.9 корп.1",Многоквартирный дом,5,1967-01-01 00:00:00,3407.3
5528,"ул. Чернышевского, д.112",Другое строение,5,,0.01
5529,"ул. Чернышевского, д.125",Многоквартирный дом,9,1985-01-01 00:00:00,9483.77
5530,"ул. Чернышевского, д.125 корп.1",Многоквартирный дом,10,1987-01-01 00:00:00,6824.9
5531,"ул. Чернышевского, д.125 корп.2",Другое строение,1,1978-01-01 00:00:00,0.01
5532,"ул. Чернышевского, д.127",Многоквартирный дом,9,1980-01-01 00:00:00,8396.81
5533,"ул. Чернышевского, д.145",Другое строение,9,2002-01-01 00:00:00,0.01
5534,"ул. Чернышевского, д.145*",Другое строение,0,,
5535,"ул. Чернышевского, д.71 корп.1",Многоквартирный дом,9,2010-01-01 00:00:00,12568.0
5536,"ул. Чернышевского, д.84",Многоквартирный дом,6,2002-01-01 00:00:00,8679.0
5537,"ул. Чкалова, д.0",Другое строение,0,,0.0
5538,"ул. Чкалова, д.108",Частный дом,1,1958-01-01 00:00:00,96.4
5539,"ул. Чкалова, д.110",Другое строение,1,1960-01-01 00:00:00,0.1
5540,"ул. Чкалова, д.123",Частный дом,1,1959-01-01 00:00:00,152.0
5541,"ул. Чкалова, д.125",Больницы,1,1969-01-01 00:00:00,0.13
5542,"ул. Чкалова, д.131",Другое строение,1,2019-01-01 00:00:00,0.04
5543,"ул. Чудинова, д.1",Многоквартирный дом,9,1972-01-01 00:00:00,10683.3
5544,"ул. Чудинова, д.1 корп.1",Многоквартирный дом,9,1972-01-01 00:00:00,3882.5
5545,"ул. Чудинова, д.1 корп.2",Другое строение,1,,0.01
5546,"ул. Чудинова, д.1 корп.3",Другое строение,1,,0.01
5547,"ул. Чудинова, д.1 корп.4",Многоквартирный дом,10,2005-01-01 00:00:00,5113.2
5548,"ул. Чудинова, д.10",Многоквартирный дом,9,1970-01-01 00:00:00,2351.2
5549,"ул. Чудинова, д.12",Многоквартирный дом,5,1962-01-01 00:00:00,2822.4
5550,"ул. Чудинова, д.14",Многоквартирный дом,5,1962-01-01 00:00:00,3742.6
5551,"ул. Чудинова, д.16",Многоквартирный дом,5,1962-01-01 00:00:00,2971.1
5552,"ул. Чудинова, д.2",Многоквартирный дом,5,1963-01-01 00:00:00,3244.3
5553,"ул. Чудинова, д.3",Другое строение,1,,0.01
5554,"ул. Чудинова, д.4",Многоквартирный дом,5,1964-01-01 00:00:00,2516.8
5555,"ул. Чудинова, д.5",Многоквартирный дом,9,1970-01-01 00:00:00,7637.8
5556,"ул. Чудинова, д.7",Многоквартирный дом,9,1971-01-01 00:00:00,4698.3
5557,"ул. Чудинова, д.7 корп.1",Многоквартирный дом,10,1997-01-01 00:00:00,10993.72
5558,"ул. Чудинова, д.7 корп.2",Гаражные комплексы,0,,0.0
5559,"ул. Чудская, д.3",Другое строение,2,,0.01
5560,"ул. Чукотская, д.21",Частный дом,1,1989-01-01 00:00:00,61.1
5561,"ул. Чукотская, д.23",Частный дом,1,1989-01-01 00:00:00,44.8
5565,"ул. Чукотская, д.25",Частный дом,1,1949-01-01 00:00:00,65.6
5566,"ул. Чукотская, д.29",Частный дом,1,1950-01-01 00:00:00,39.5
5567,"ул. Шафиева, д.1",Другое строение,3,1970-01-01 00:00:00,0.01
5568,"ул. Шафиева, д.10",Многоквартирный дом,5,1967-01-01 00:00:00,6200.4
5569,"ул. Шафиева, д.11",Другое строение,2,,0.01
5570,"ул. Шафиева, д.12",Многоквартирный дом,9,1970-01-01 00:00:00,12312.4
5571,"ул. Шафиева, д.12 корп.1",Многоквартирный дом,5,1968-01-01 00:00:00,6196.1
5572,"ул. Шафиева, д.12 корп.2",Другое строение,2,1972-01-01 00:00:00,0.01
5573,"ул. Шафиева, д.12. корп.2","Жилое здание (Гостиница, Общежитие)",2,1972-01-01 00:00:00,1101.81
